ended_at_hour,count,month
18,11440,08
17,10204,08
18,10145,07
18,9595,06
19,9348,08
17,9328,07
17,8972,06
19,8611,07
19,7626,06
20,7113,08
16,7102,08
16,6945,07
20,6921,07
8,6731,08
16,6364,06
8,6083,07
15,6020,08
8,5980,06
13,5883,08
14,5788,08
20,5750,06
12,5563,08
15,5549,06
15,5519,07
14,5392,07
13,5372,07
12,5206,07
13,5064,06
21,5039,07
7,5008,08
9,4964,08
12,4906,06
14,4881,06
21,4864,08
11,4804,08
11,4727,07
9,4578,07
7,4515,07
7,4346,06
9,4318,06
21,4272,06
10,4242,07
11,4113,06
10,4063,08
22,3792,07
10,3723,06
22,3523,08
22,2990,06
23,2600,07
6,2570,08
6,2506,07
23,2503,08
6,2468,06
23,2163,06
0,1643,07
0,1563,08
0,1288,06
1,1121,07
1,946,08
5,915,07
5,803,06
5,802,08
1,747,06
2,701,07
2,561,08
2,516,06
4,374,07
4,353,08
3,333,07
3,311,08
4,298,06
3,291,06
